,pid,age,sex,chest,resting_blood_pressure,serum_cholestoral,fasting_blood_sugar
pid,0.0,0.2585372824667664,0.020772459080001526,0.07028960170999772,0.31969643396024877,0.29288136932725595,0.01620147905001025
age,0.2585372824667664,0.0,0.042992801147440224,0.008625169605791586,0.44994366816538983,0.474912772227451,0.020996438501704007
sex,0.020772459080001526,0.042992801147440224,0.0,0.058610677602687344,0.04852202635359054,0.05527418261825799,0.000617950148077391
chest,0.07028960170999772,0.008625169605791586,0.058610677602687344,0.0,0.14728926905333,0.12483050693756095,0.0020699972200637247
resting_blood_pressure,0.31969643396024877,0.44994366816538983,0.04852202635359054,0.14728926905333,0.0,0.5204612512173397,0.03996476779180133
serum_cholestoral,0.29288136932725595,0.474912772227451,0.05527418261825799,0.12483050693756095,0.5204612512173397,0.0,0.05271178842407725
fasting_blood_sugar,0.01620147905001025,0.020996438501704007,0.0009643724474560179,0.0020699972200637247,0.03996476779180133,0.05271178842407725,0.0
